Supplier_ID,Supplier,Lead_time,MOQ,Type
1,AKRA POLYESTER GROUP/DAK,Remove,Remove,Remove
2,AMES (Do not Use),Remove,Remove,Remove
3,BANSWARA SYNTEX LIMITED,14,5000,Import
4,Betareks A. S.,14,5000,Import
5,"BIELTEX, S.L.",14,10000,Import
6,BUHLER QUALITY YARNS CORP,10,10,Domestic
7,BURLINGTON MANUFACTURING SERVICE,Remove,Remove,Remove
8,CAP YARNS LLC,Remove,Remove,Remove
9,CS AMERICA,8,2500,Domestic
10,DECA GLOBAL,14,2500,Import
11,DUNAWAY YARNS INC,14,5000,Import
12,"EDPA USA, LLC",14,10000,Import
13,FERR,8,1000,Import
14,FILSPEC Yarns,12,1000,Domestic
15,HICKORY THROWING COMPANY,14,1500,Import
16,HYOSUNG HOLDINGS USA INC,8,1000,Import
17,KC TEX INC,4,1000,Import
18,MERIDIAN SPECIALTY YARN GROUP INC,4,1000,Domestic
19,"MIKE BECKER, INC",8,1500,Domestic
20,MINIFIBERS,8,2000,Domestic
21,MURAT YAPI,10,10000,Import
22,MUTU GADING TEKSTIL,14,10000,Import
23,NASP,Remove,Remove,Remove
24,NORMTEX,Remove,Remove,Remove
25,OMAR,Remove,Remove,Remove
26,OMARA TEXTILES,6,1000,Domestic
27,PARKDALE YARN MILLS,8,2500,Domestic
28,PROMPTEX YARNS INC,6,5000,Import
29,R BELDA LLORENS,8,1000,Import
30,SPDY,Remove,Remove,Remove
31,"SPRINGS CREATIVE PRODUCTS GROUP, LLC",14,5000,Domestic
32,SPUNGOLD,14,5000,Domestic
33,SPUNLAB,Remove,Remove,Remove
34,SUPREME CORPORATION,Remove,Remove,Remove
35,TEXPERTS CANADA INC,8,2500,Import
36,UNIFI,8,1500,Domestic
37,VERTEX,14,10000,Import
